settlement_id,category,threshold1,threshold2,mean_wt_percent,difference
Namiwawa,mean_wt_percent_bb,1.21,1.55,8.84336706077005,2.1394606265298695
Namiwawa,mean_wt_percent_bb,1.21,1.57,7.89317339804292,1.1892669638027407
Namiwawa,mean_wt_percent_bb,1.21,1.59,7.39309900144043,0.6891925672002506
Namiwawa,mean_wt_percent_bb,1.21,1.61,6.975664574820774,0.27175814058059444
Namiwawa,mean_wt_percent_bb,1.21,1.6300000000000001,6.698084454332541,-0.005821979907638664
Namiwawa,mean_wt_percent_bb,1.21,1.6500000000000001,6.238210660786046,-0.4656957734541338
Namiwawa,mean_wt_percent_bb,1.21,1.67,5.680697405846757,-1.0232090283934223
Namiwawa,mean_wt_percent_bb,1.21,1.69,4.927909142121938,-1.7759972921182419
Namiwawa,mean_wt_percent_bb,1.21,1.71,4.319741232886595,-2.384165201353585
Namiwawa,mean_wt_percent_bb,1.23,1.55,8.84403037682968,2.1401239425895007
Namiwawa,mean_wt_percent_bb,1.23,1.57,7.893747941283904,1.1898415070437238
Namiwawa,mean_wt_percent_bb,1.23,1.59,7.393657741996071,0.6897513077558912
Namiwawa,mean_wt_percent_bb,1.23,1.61,6.976171476948647,0.27226504270846696
Namiwawa,mean_wt_percent_bb,1.23,1.6300000000000001,6.698599521873949,-0.005306912366230598
Namiwawa,mean_wt_percent_bb,1.23,1.6500000000000001,6.243043012371397,-0.4608634218687824
Namiwawa,mean_wt_percent_bb,1.23,1.67,5.681112676420316,-1.0227937578198638
Namiwawa,mean_wt_percent_bb,1.23,1.69,4.928269735282095,-1.7756366989580847
Namiwawa,mean_wt_percent_bb,1.23,1.71,4.322993298704495,-2.3809131355356845
Namiwawa,mean_wt_percent_bb,1.25,1.55,8.851054832877677,2.1471483986374977
Namiwawa,mean_wt_percent_bb,1.25,1.57,7.894293992116258,1.190387557876078
Namiwawa,mean_wt_percent_bb,1.25,1.59,7.394195363367402,0.6902889291272221
Namiwawa,mean_wt_percent_bb,1.25,1.61,6.97665201392908,0.2727455796889
Namiwawa,mean_wt_percent_bb,1.25,1.6300000000000001,6.6990971921464855,-0.004809242093694266
Namiwawa,mean_wt_percent_bb,1.25,1.6500000000000001,6.243463449968906,-0.46044298427127384
Namiwawa,mean_wt_percent_bb,1.25,1.67,5.681505014087103,-1.0224014201530771
Namiwawa,mean_wt_percent_bb,1.25,1.69,4.928609799844071,-1.775296634396109
Namiwawa,mean_wt_percent_bb,1.25,1.71,4.323291750108535,-2.380614684131645
Namiwawa,mean_wt_percent_bb,1.27,1.55,8.85210154745187,2.14819511321169
Namiwawa,mean_wt_percent_bb,1.27,1.57,7.895364513294151,1.1914580790539713
Namiwawa,mean_wt_percent_bb,1.27,1.59,7.400249020309256,0.6963425860690764
Namiwawa,mean_wt_percent_bb,1.27,1.61,6.977586800498773,0.27368036625859293
Namiwawa,mean_wt_percent_bb,1.27,1.6300000000000001,6.704583221622418,6.767873822379755e-4
Namiwawa,mean_wt_percent_bb,1.27,1.6500000000000001,6.244260758076874,-0.45964567616330587
Namiwawa,mean_wt_percent_bb,1.27,1.67,5.68225880186192,-1.0216476323782597
Namiwawa,mean_wt_percent_bb,1.27,1.69,4.929259271668208,-1.7746471625719717
Namiwawa,mean_wt_percent_bb,1.27,1.71,4.323858718953686,-2.3800477152864934
Namiwawa,mean_wt_percent_bb,1.29,1.55,8.851212517159048,2.1473060829188686
Namiwawa,mean_wt_percent_bb,1.29,1.57,7.894833846978784,1.1909274127386045
Namiwawa,mean_wt_percent_bb,1.29,1.59,7.3949557186751,0.6910492844349205
Namiwawa,mean_wt_percent_bb,1.29,1.61,6.977079633852111,0.2731731996119313
Namiwawa,mean_wt_percent_bb,1.29,1.6300000000000001,6.70390643424018,0
Namiwawa,mean_wt_percent_bb,1.29,1.6500000000000001,6.243684528351675,-0.4602219058885044
Namiwawa,mean_wt_percent_bb,1.29,1.67,5.681784729688758,-1.022121704551422
Namiwawa,mean_wt_percent_bb,1.29,1.69,4.9288233967580375,-1.7750830374821422
Namiwawa,mean_wt_percent_bb,1.29,1.71,4.323454809370827,-2.3804516248693526
Namiwawa,mean_wt_percent_bb,1.31,1.55,8.84408095668489,2.1401745224447097
Namiwawa,mean_wt_percent_bb,1.31,1.57,7.893334341251658,1.1894279070114786
Namiwawa,mean_wt_percent_bb,1.31,1.59,7.393565470150454,0.6896590359102746
Namiwawa,mean_wt_percent_bb,1.31,1.61,6.975748385954975,0.2718419517147952
Namiwawa,mean_wt_percent_bb,1.31,1.6300000000000001,6.698613998894322,-0.005292435345857882
Namiwawa,mean_wt_percent_bb,1.31,1.6500000000000001,6.242459641473521,-0.461446792766659
Namiwawa,mean_wt_percent_bb,1.31,1.67,5.680671056737858,-1.0232353775023215
Namiwawa,mean_wt_percent_bb,1.31,1.69,4.92784719547746,-1.7760592387627199
Namiwawa,mean_wt_percent_bb,1.31,1.71,4.322587091999626,-2.3813193422405536
