settlement_id,category,threshold1,threshold2,mean_wt_percent,difference
Ndirande,mean_wt_percent_Mixed,1.35,1.67,72.24441244032954,1.6287835388884844
Ndirande,mean_wt_percent_Mixed,1.35,1.69,74.05414294337153,3.4385140419304747
Ndirande,mean_wt_percent_Mixed,1.35,1.71,75.49729498548687,4.881666084045818
Ndirande,mean_wt_percent_Mixed,1.3699999999999999,1.55,44.38985541040344,-26.225773491037614
Ndirande,mean_wt_percent_Mixed,1.3699999999999999,1.57,48.82951223532748,-21.78611666611358
Ndirande,mean_wt_percent_Mixed,1.3699999999999999,1.59,54.12152430440445,-16.494104597036603
Ndirande,mean_wt_percent_Mixed,1.3699999999999999,1.61,57.86164304345527,-12.75398585798579
Ndirande,mean_wt_percent_Mixed,1.3699999999999999,1.6300000000000001,61.691992765558034,-8.923636135883022
Ndirande,mean_wt_percent_Mixed,1.3699999999999999,1.6500000000000001,66.77906059988918,-3.8365683015518783
Ndirande,mean_wt_percent_Mixed,1.3699999999999999,1.67,69.85341542527738,-0.7622134761636801
Ndirande,mean_wt_percent_Mixed,1.3699999999999999,1.69,71.66314381295868,1.0475149115176237
Ndirande,mean_wt_percent_Mixed,1.3699999999999999,1.71,73.10651446753997,2.4908855660989104
Ndirande,mean_wt_percent_bb,1.21,1.55,38.113881069241685,17.302796218347268
Ndirande,mean_wt_percent_bb,1.21,1.57,33.673797454075874,12.862712603181457
Ndirande,mean_wt_percent_bb,1.21,1.59,28.381562466634918,7.570477615740501
Ndirande,mean_wt_percent_bb,1.21,1.61,24.61286919810954,3.801784347215122
Ndirande,mean_wt_percent_bb,1.21,1.6300000000000001,20.811652835832653,5.679849382360658e-4
Ndirande,mean_wt_percent_bb,1.21,1.6500000000000001,15.724647585961538,-5.086437264932879
Ndirande,mean_wt_percent_bb,1.21,1.67,12.648099614814143,-8.162985236080274
Ndirande,mean_wt_percent_bb,1.21,1.69,10.838237564718737,-9.97284728617568
Ndirande,mean_wt_percent_bb,1.21,1.71,9.396348584795044,-11.414736266099373
Ndirande,mean_wt_percent_bb,1.23,1.55,38.11017467846672,17.299089827572303
Ndirande,mean_wt_percent_bb,1.23,1.57,33.670669294340335,12.859584443445918
Ndirande,mean_wt_percent_bb,1.23,1.59,28.378879260838563,7.567794409944145
Ndirande,mean_wt_percent_bb,1.23,1.61,24.63742208471126,3.8263372338168438
Ndirande,mean_wt_percent_bb,1.23,1.6300000000000001,20.80977689318236,-0.0013079577120578278
Ndirande,mean_wt_percent_bb,1.23,1.6500000000000001,15.723222611326653,-5.087862239567764
Ndirande,mean_wt_percent_bb,1.23,1.67,12.647036943350368,-8.164047907544049
Ndirande,mean_wt_percent_bb,1.23,1.69,10.83736080152351,-9.973724049370908
Ndirande,mean_wt_percent_bb,1.23,1.71,9.395608242431853,-11.415476608462564
Ndirande,mean_wt_percent_bb,1.25,1.55,38.11012096902885,17.29903611813443
Ndirande,mean_wt_percent_bb,1.25,1.57,33.67064152831165,12.859556677417231
Ndirande,mean_wt_percent_bb,1.25,1.59,28.378848354736974,7.567763503842556
Ndirande,mean_wt_percent_bb,1.25,1.61,24.637389673091096,3.826304822196679
Ndirande,mean_wt_percent_bb,1.25,1.6300000000000001,20.809777713642756,-0.0013071372516613167
Ndirande,mean_wt_percent_bb,1.25,1.6500000000000001,15.723221134338129,-5.0878637165562886
Ndirande,mean_wt_percent_bb,1.25,1.67,12.647037680243796,-8.16404717065062
Ndirande,mean_wt_percent_bb,1.25,1.69,10.837365874559941,-9.973718976334476
Ndirande,mean_wt_percent_bb,1.25,1.71,9.395621601015877,-11.41546324987854
Ndirande,mean_wt_percent_bb,1.27,1.55,38.11003646009752,17.2989516092031
Ndirande,mean_wt_percent_bb,1.27,1.57,33.670588293411654,12.859503442517237
Ndirande,mean_wt_percent_bb,1.27,1.59,28.37879622324444,7.567711372350022
Ndirande,mean_wt_percent_bb,1.27,1.61,24.637348642902978,3.826263792008561
Ndirande,mean_wt_percent_bb,1.27,1.6300000000000001,20.832308979326484,0.02122412843206689
Ndirande,mean_wt_percent_bb,1.27,1.6500000000000001,15.740267268038064,-5.070817582856353
Ndirande,mean_wt_percent_bb,1.27,1.67,12.647031262605173,-8.164053588289244
Ndirande,mean_wt_percent_bb,1.27,1.69,10.837364974104345,-9.973719876790073
Ndirande,mean_wt_percent_bb,1.27,1.71,9.395627573901034,-11.415457276993383
Ndirande,mean_wt_percent_bb,1.29,1.55,38.112802451906816,17.3017176010124
Ndirande,mean_wt_percent_bb,1.29,1.57,33.67285969040005,12.861774839505635
Ndirande,mean_wt_percent_bb,1.29,1.59,28.380766704045694,7.569681853151277
Ndirande,mean_wt_percent_bb,1.29,1.61,24.63896213129178,3.827877280397363
Ndirande,mean_wt_percent_bb,1.29,1.6300000000000001,20.811084850894417,0
Ndirande,mean_wt_percent_bb,1.29,1.6500000000000001,15.724216957188577,-5.08686789370584
Ndirande,mean_wt_percent_bb,1.29,1.67,12.64775767536494,-8.163327175529478
Ndirande,mean_wt_percent_bb,1.29,1.69,10.837948052259891,-9.973136798634526
Ndirande,mean_wt_percent_bb,1.29,1.71,9.396105539861985,-11.414979311032432
Ndirande,mean_wt_percent_bb,1.31,1.55,38.111763025895854,17.300678175001437
Ndirande,mean_wt_percent_bb,1.31,1.57,33.672015792639755,12.860930941745337
Ndirande,mean_wt_percent_bb,1.31,1.59,28.380026130604602,7.5689412797101845
Ndirande,mean_wt_percent_bb,1.31,1.61,24.63827322910687,3.827188378212451
Ndirande,mean_wt_percent_bb,1.31,1.6300000000000001,20.810644310155997,-4.405407384204807e-4
Ndirande,mean_wt_percent_bb,1.31,1.6500000000000001,15.723875290205397,-5.08720956068902
Ndirande,mean_wt_percent_bb,1.31,1.67,12.64748116125406,-8.163603689640357
Ndirande,mean_wt_percent_bb,1.31,1.69,10.837728608125058,-9.97335624276936
Ndirande,mean_wt_percent_bb,1.31,1.71,9.395953686667777,-11.41513116422664
Ndirande,mean_wt_percent_bb,1.33,1.55,38.152480755616686,17.34139590472227
Ndirande,mean_wt_percent_bb,1.33,1.57,33.70776370188454,12.89667885099012
Ndirande,mean_wt_percent_bb,1.33,1.59,28.37942987109304,7.568345020198624
Ndirande,mean_wt_percent_bb,1.33,1.61,24.63782828996148,3.8267434390670623
Ndirande,mean_wt_percent_bb,1.33,1.6300000000000001,20.832638036651858,0.021553185757440474
Ndirande,mean_wt_percent_bb,1.33,1.6500000000000001,15.740514848184262,-5.070570002710156
Ndirande,mean_wt_percent_bb,1.33,1.67,12.647359558964306,-8.163725291930112
Ndirande,mean_wt_percent_bb,1.33,1.69,10.837664743950443,-9.973420106943975
Ndirande,mean_wt_percent_bb,1.33,1.71,9.405726818087096,-11.405358032807321
Ndirande,mean_wt_percent_bb,1.35,1.55,38.111540649464686,17.30045579857027
Ndirande,mean_wt_percent_bb,1.35,1.57,33.67184787387208,12.860763022977665
Ndirande,mean_wt_percent_bb,1.35,1.59,28.37987885834343,7.568794007449014
Ndirande,mean_wt_percent_bb,1.35,1.61,24.638233755801984,3.827148904907567
Ndirande,mean_wt_percent_bb,1.35,1.6300000000000001,20.810515864425344,-5.689864690729962e-4
Ndirande,mean_wt_percent_bb,1.35,1.6500000000000001,15.72377919264262,-5.087305658251797
Ndirande,mean_wt_percent_bb,1.35,1.67,12.6474460239194,-8.163638826975017
Ndirande,mean_wt_percent_bb,1.35,1.69,10.83770321846534,-9.973381632429078
